100|1100034|S|2016-08-15T15:37:48:00
100|1100034|E|2016-08-15T14:00:12:00
130|1100047|S|2016-08-15T14:02:23:00
130|1100078|S|2016-08-15T14:03:22:00
130|1100047|E|2016-08-15T20:13:44:00
130|1100078|S|2016-08-15T21:45:12:00
110|1100034|S|2016-09-08T21:01:12.114
110|1100034|E|2016-10-06T18:57:02.838
100|1100034|S|2016-11-08T18:33:16.532
100|1100034|E|2016-11-08T18:36:20.035
110|1100034|S|2016-11-08T18:38:16.895
110|1100034|E|2016-11-08T18:38:22.778
110|1100034|S|2016-11-08T18:50:42.763
110|1100034|E|2016-11-08T18:50:56.039
120|1100034|S|2016-11-08T19:07:07.627
100|1100034|S|2016-11-08T19:07:59.630
120|1100034|S|2016-11-08T19:09:59.187
100|1100034|S|2016-11-08T19:13:18.872
100|1100034|E|2016-11-08T19:13:29.868
110|1100034|E|2016-11-08T19:25:22.427
120|1100034|E|2016-11-08T19:27:04.973
100|1100034|E|2016-11-08T19:27:52.062
100|1100034|E|2016-11-08T19:28:45.612
100|1100034|E|2016-11-08T19:29:43.155
100|1100034|E|2016-11-08T19:30:21.424
100|1100034|S|2016-11-08T19:30:27.427
100|1100034|E|2016-11-08T19:30:34.386
120|1100034|E|2016-11-08T19:33:56.476
120|1100034|S|2016-11-08T19:33:56.495
110|1100034|E|2016-11-08T19:34:10.543
110|1100034|S|2016-11-08T19:34:10.556
100|1100034|E|2016-11-10T08:12:36.995
100|1100034|S|2016-11-10T08:12:37.010
100|1100034|E|2016-11-10T08:12:44.080
100|1100034|E|2016-11-10T08:25:42.981
100|1100034|S|2016-11-10T08:25:42.981
100|1100034|E|2016-11-10T08:25:48.668
